c1,state,county,hbp,chd,dm,ob,hc,ckd,hpsa,aqi,cold_wave,heat_wave,ice_storm,winter_weather,enviro_hazard,lead_paint,low_income,access_healthy_food,percent_area_parks,respiratory_hazard,road_noise,traffic_proximity_volume,vehicles_available,walkability,walkability_to_transit,minority_proportion,fam_bel_pov,vacancy,property,gini_index,diffusion_score,party,metro,farming,mining,manufacturing,government,recreation,nonspecialized,low_education,low_employment,pop_loss,retirement_dest,persistent_poverty,persistent_related_child_poverty,pct_dem_lead_2000,pct_dem_lead_2004,pct_dem_lead_2008,pct_dem_lead_2012,pct_dem_lead_2016,pct_dem_lead_2020,change_2000_to_2004,change_2004_to_2008,change_2008_to_2012,change_2012_to_2016,change_2016_to_2020,total_magnitude_of_change,cumulative_change,volatility,change_2000_to_2020,d_2004_2000,d_2008_2004,d_2012_2008,d_2016_2012,d_2020_2016,d_2020_2000,d_average,dem_land,min_prop
2968,oh,scioto,0.652061856,0.5,0.673076923,0.83497053,0.805739514,0.640625,0.010791367,0.348732841,0,0.1755,0.0643,0.0855,0.1215,0.318004496,0.5859302,0.88441275,0.003319058,0.315671951,0,0.153729038,0.001602719,0.267209011,0.052631579,0.400775712,0.004164937,0.007760895,0.005704794,0.635212197,0.096416242,0.363742363,0,0,0,0,0,0,1,0,0,0,0,0,0,0.117484904,0.035594978,-0.06543157,-0.069628266,-0.226041795,-0.276742889,-0.697025096,-2.838224785,0.064138698,2.24640853,0.224299641,6.07009675,-1.000403012,1.639632768,11.33328533,-0.006512688,-0.022749955,0.050174136,-0.357589036,-0.051254235,-0.387931794,1.824225545,1,3
,il,clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.595801353,-0.080229618,0.194906235,-0.24433136,-0.147567227,-0.034205709,-0.311427683,0.214062274,1,
3242,ky,lincoln,0.386597938,0.311320755,0.411538462,0.726915521,0.785871965,0.484375,0.009592326,0.220696938,0.1927,0.0763,0.1221,0.146,0.0753,0.154175953,0.365815427,0.866670895,0.019164882,0.052489258,0,0.172604418,0.003548393,0.418022528,0.157894737,0.177621568,0.006386531,0.012291875,0.022307213,0.400743267,0.212340353,0.513309056,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.03231044,-0.078378621,0.084039156,0.031320727,-0.047508938,-0.00775724,1.425798619,-2.072220396,-0.627307927,-2.516852967,-0.836720401,7.478900311,-4.627303072,1.376428527,1.050281882,-0.08238893,-0.023715129,-0.034158133,-0.153504834,0.001092725,-0.292674303,0.126267925,1,2
3174,tn,henderson,0.420103093,0.396226415,0.476923077,0.701375246,0.810154525,0.484375,0.011990408,0.292766631,0.169,0.0649,0.0855,0.1291,0.0912,0.167317909,0.461319877,0.842691081,0.017344754,0.125631945,0,0.182498858,0.00153311,0.371714643,0.052631579,0.081444433,0.003162349,0.005449914,0.012028279,0.197129649,0.068690238,0.252132984,1,0,0,1,0,0,0,0,0,0,0,0,0,-0.275375572,-0.429150808,-0.190394902,-0.33526253,-0.470768034,-0.477464859,0.558420036,-0.556345,0.760879767,0.4041773,0.014225319,2.294047421,1.18135742,0.465774901,1.709554434,-0.074141331,-0.118302636,-0.058697801,-0.132621095,-0.020676324,-0.404439181,0.217519224,1,1
2857,nc,columbus,0.569587629,0.481132075,0.561538462,0.740667976,0.849889625,0.59375,0.011990408,0.570221753,0,0.1621,0.3992,0.1779,0.1108,0.318335151,0.443816139,0.900743916,0.001927195,0.551788413,0,0.201510175,0.001088287,0.396745932,0.052631579,0.397456803,0.00622753,0.01845146,0.017406758,0.658188502,0.128308695,0.353760272,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.152860529,-0.192406909,-0.261190989,-0.262152879,-0.272345211,-0.170711146,0.258708903,0.357492776,0.003682707,0.038879346,-0.373181026,1.031944758,0.285582706,0.2526694,-2.584956408,-0.10951823,-0.058696918,0.000986654,-0.141490772,0.078072414,-0.230646849,-0.46926719,1,3
3031,tx,cass,0.737113402,0.716981132,0.665384615,0.811394892,0.89183223,0.6875,0.003597122,0.315821894,0.1211,0.0658,0.1018,0.1011,0.0603,0.229306228,0.558827162,0.927514392,0,0.218921322,0,0.036018009,0.000587437,0.306633292,0.052631579,0.051306796,0.001784342,0.005067783,0.003178508,0.095773886,0.024159556,0.103072939,0,1,0,0,0,0,0,0,1,0,0,0,1,-0.509175377,-0.555376838,-0.624400767,-0.641247439,-0.731062304,-0.745539335,0.090737814,0.124283053,0.026980544,0.140062727,0.019802732,0.401866869,0.401866869,0.049229863,2.88663125,-0.076292023,-0.175787792,-0.091062754,-0.098881572,0.002702925,-0.43932122,0.407884985,1,1
2885,nc,northampton,0.523195876,0.556603774,0.530769231,0.722986248,0.841059603,0.578125,0.007194245,0.478968673,0,0.1402,0.3405,0.2005,0.1212,0.225099912,0.453998424,0.896325417,0.119486081,0.490463772,0,0.163445853,0.000869271,0.335419274,0.052631579,0.213012935,0.003957352,0.008907288,0.007799265,0.478320626,0.186828428,0.245105576,0,0,0,0,0,0,1,0,1,1,0,1,1,-0.054042731,-0.085653904,-0.230806846,-0.279698691,-0.402107112,-0.194251421,0.584929207,1.694644803,0.211830134,0.43764388,-0.516916225,3.445964249,2.412131799,0.714687873,-1.082931757,-0.072500765,0.029816369,0.044160873,-0.088395298,-0.288937718,-0.375856549,-0.243131384,1,2
2556,al,bibb,0.597938144,0.547169811,0.615384615,0.7956778,0.777041943,0.625,0.004796163,0.478968673,0,0.0559,0.026,0.0537,0.0449,0.378137648,0.497290164,0.684381934,0,0.580484516,0,0.116839217,0.000203735,0.26971214,0.052631579,0.415927465,0.001196922,0.005941225,0.002546323,0.627213469,0.070543818,0.256305786,0,0,0,0,0,0,1,1,1,0,0,0,1,-0.177167019,-0.307309606,-0.373379703,-0.317353787,-0.418010753,-0.139591588,0.734575699,0.214995222,-0.15005078,0.317175876,-0.666057423,2.082855,0.450638594,0.471584062,1.622689724,-0.225021735,-0.013336723,-0.008277542,-0.08479061,-0.025743378,-0.357169986,0.210919961,1,3
1866,il,scott,0.471649485,0.528301887,0.565384615,0.711198428,0.803532009,0.625,0.004796163,0.266543471,0.2621,0,0.1626,0.2883,0.1073,0.235188076,0.487877839,0.934685903,0,0.207338865,0,0.078022707,0.000741937,0.357947434,0.052631579,0.392460457,0.002142094,0.009152943,0.004983465,0.658302432,0.164729326,0.408979096,0,0,0,0,0,1,0,0,0,0,1,0,0,-0.029061785,-0.034496431,-0.016212487,-0.0625,-0.223546702,-0.097906055,0.187003191,-0.530024226,2.855053191,2.576747224,-0.562033102,6.710860934,4.526746279,1.504954862,1.759943128,-0.087598667,0.151345283,-0.124586031,-0.283725679,-0.014694255,-0.359259337,0.233447298,1,3
2992,wv,braxton,0.554123711,0.537735849,0.546153846,0.717092338,0.845474614,0.546875,0.005995204,0.369852165,0.1225,0.0678,0.0615,0.0668,0.0832,0.195042079,0.377733421,0.895148435,0.000535332,0.28704697,0,0.037578572,0.000298812,0.326032541,0.052631579,0.08790723,0.001201339,0.006514421,0.005545317,0.184206949,0.095245374,0.240615251,0,0,0,0,0,0,1,1,1,0,0,0,0,0.272114953,0.157064032,-0.028759894,-0.135217835,-0.414231791,-0.498178728,-0.422802642,-1.183109361,3.701610952,2.063440496,0.202656915,7.573620366,4.36179636,1.776188981,-14.18434429,-0.027562827,0.005767944,-0.165197998,-0.284031242,-0.034798972,-0.505823076,-2.448361158,1,1
